Wavelength,A_lambda/tau1,Al_Ebv
5613,2.70406,2.7739
5616,2.70207,2.77186
5619,2.70008,2.76981
5622,2.69809,2.76778
5625,2.69611,2.76574
5628,2.69413,2.76372
5631,2.69216,2.76169
5634,2.69019,2.75967
5637,2.68823,2.75766
5640,2.68627,2.75565
5643,2.68431,2.75364
5646,2.68236,2.75164
5649,2.68042,2.74965
5652,2.67847,2.74766
5655,2.67654,2.74567
5658,2.67461,2.74369
5661,2.67268,2.74171
5664,2.67075,2.73973
5667,2.66883,2.73777
5670,2.66692,2.7358
5673,2.66501,2.73384
5676,2.6631,2.73189
5679,2.6612,2.72994
5682,2.6593,2.72799
5685,2.65741,2.72605
5688,2.65552,2.72411
5691,2.65364,2.72218
5694,2.65176,2.72025
5697,2.64988,2.71833
5700,2.64801,2.71641
5703,2.64615,2.71449
5706,2.64428,2.71258
5709,2.64242,2.71067
5712,2.64057,2.70877
5715,2.63872,2.70688
5718,2.63688,2.70498
5721,2.63503,2.70309
5724,2.6332,2.70121
5727,2.63137,2.69933
5730,2.62954,2.69745
5733,2.62771,2.69558
5736,2.62589,2.69372
5739,2.62408,2.69185
5742,2.62227,2.69
5745,2.62046,2.68814
5748,2.61866,2.68629
5751,2.61686,2.68445
5754,2.61506,2.68261
5757,2.61327,2.68077
5760,2.61149,2.67894
5763,2.6097,2.67711
5766,2.60793,2.67528
5769,2.60615,2.67347
5772,2.60438,2.67165
5775,2.60262,2.66984
5778,2.60086,2.66803
5781,2.5991,2.66623
5784,2.59734,2.66443
5787,2.5956,2.66264
5790,2.59385,2.66084
5793,2.59211,2.65906
5796,2.59037,2.65728
5799,2.58864,2.6555
5802,2.58691,2.65372
5805,2.58518,2.65195
5808,2.58346,2.65019
5811,2.58174,2.64843
5814,2.58003,2.64667
5817,2.57832,2.64492
5820,2.57662,2.64317
5823,2.57492,2.64142
5826,2.57322,2.63968
5829,2.57152,2.63794
5832,2.56983,2.63621
5835,2.56815,2.63448
5838,2.56647,2.63275
5841,2.56479,2.63103
5844,2.56311,2.62931
5847,2.56144,2.6276
5850,2.55978,2.62589
5853,2.55811,2.62419
5856,2.55645,2.62248
5859,2.5548,2.62079
5862,2.55315,2.61909
5865,2.5515,2.6174
5868,2.54986,2.61572
5871,2.54822,2.61403
5874,2.54658,2.61235
5877,2.54495,2.61068
5880,2.54332,2.60901
5883,2.54169,2.60734
5886,2.54007,2.60568
5889,2.53845,2.60402
5892,2.53684,2.60236
5895,2.53523,2.60071
5898,2.53362,2.59906
5901,2.53202,2.59741
5904,2.53042,2.59577
5907,2.52882,2.59414
5910,2.52723,2.5925
5913,2.52564,2.59087
5916,2.52405,2.58924
5919,2.52247,2.58762
5922,2.52089,2.586
5925,2.51932,2.58439
5928,2.51774,2.58277
5931,2.51618,2.58117
5934,2.51461,2.57956
5937,2.51305,2.57796
5940,2.51149,2.57636
5943,2.50994,2.57477
5946,2.50839,2.57318
5949,2.50684,2.57159
5952,2.5053,2.57
5955,2.50375,2.56842
5958,2.50222,2.56685
5961,2.50068,2.56527
5964,2.49915,2.5637
5967,2.49763,2.56213
5970,2.4961,2.56057
5973,2.49458,2.55901
5976,2.49306,2.55745
5979,2.49155,2.5559
5982,2.49004,2.55435
5985,2.48853,2.5528
5988,2.48702,2.55126
5991,2.48552,2.54972
5994,2.48403,2.54818
5997,2.48253,2.54665
6000,2.48104,2.54512
6003,2.47955,2.54359
6006,2.47806,2.54207
6009,2.47658,2.54055
6012,2.4751,2.53903
6015,2.47363,2.53752
6018,2.47215,2.536
6021,2.47068,2.5345
6024,2.46922,2.53299
6027,2.46775,2.53149
6030,2.46629,2.52999
6033,2.46483,2.5285
6036,2.46338,2.527
6039,2.46193,2.52551
6042,2.46048,2.52403
6045,2.45903,2.52254
6048,2.45759,2.52106
6051,2.45615,2.51959
6054,2.45471,2.51811
6057,2.45328,2.51664
6060,2.45184,2.51517
6063,2.45041,2.51371
6066,2.44899,2.51224
6069,2.44757,2.51078
6072,2.44615,2.50933
6075,2.44473,2.50787
6078,2.44331,2.50642
6081,2.4419,2.50497
6084,2.44049,2.50353
6087,2.43909,2.50208
6090,2.43768,2.50064
6093,2.43628,2.49921
6096,2.43488,2.49777
6099,2.43349,2.49634
6102,2.4321,2.49491
6105,2.43071,2.49349
6108,2.42932,2.49206
6111,2.42793,2.49064
6114,2.42655,2.48923
6117,2.42517,2.48781
6120,2.4238,2.4864
6123,2.42242,2.48499
6126,2.42105,2.48358
6129,2.41968,2.48218
6132,2.41831,2.48077
6135,2.41695,2.47937
6138,2.41559,2.47798
6141,2.41423,2.47658
6144,2.41287,2.47519
6147,2.41152,2.4738
6150,2.41016,2.47242
6153,2.40882,2.47103
6156,2.40747,2.46965
6159,2.40612,2.46827
6162,2.40478,2.46689
6165,2.40344,2.46552
6168,2.4021,2.46415
6171,2.40077,2.46278
6174,2.39944,2.46141
6177,2.39811,2.46004
